Age,Gender,Marital Status,Home Ownership,Family member,Education Qualiication,Monthly Income,Monthly Expense,Earning Member,Savings Status,Business Type,Business Location,Residence Area,Bank Account Status,Loan Purpose,Current Business Duration,Business Nature,Dft
32,5,7,10,5,17,3500,900,3,44,61,68,49,54,59,29,84,1
41,5,7,10,5,18,40000,12200,8,44,62,65,49,53,56,14,80,0
49,5,8,9,10,127,12700,4300,5,44,62,68,51,53,58,4,81,0
31,6,7,9,4,17,20600,6100,7,43,62,65,50,53,57,5,74,0
23,5,8,10,5,21,15900,2900,1,44,62,68,50,53,60,1,78,1
31,6,8,10,6,18,26200,18300,1,44,64,67,52,53,57,16,81,0
27,6,7,10,5,21,20800,1500,1,44,64,67,50,54,59,16,80,0
30,6,7,10,5,127,2600,27200,8,43,61,68,50,54,55,12,80,0
18,6,7,9,7,20,55600,39100,4,43,62,68,51,53,58,2,76,0
38,6,8,9,11,20,3400,1500,3,44,61,66,51,54,57,12,83,0
41,5,7,10,5,22,1400,17900,4,44,62,68,51,53,56,2,79,0
28,6,8,11,13,17,12600,35200,1,43,61,66,49,54,56,17,85,0
30,6,7,9,7,19,37100,2100,3,43,64,65,49,54,57,23,81,0
28,5,8,11,15,21,37200,27800,4,44,62,67,51,54,60,18,74,0
61,6,7,9,3,19,29400,29800,5,44,64,66,52,54,56,5,83,0
18,5,8,10,14,21,20400,1800,10,44,62,67,52,54,59,0,82,1
34,5,7,10,8,20,25400,4700,1,43,63,67,50,54,60,10,84,0
27,5,7,10,5,22,24400,5100,3,43,62,67,52,54,60,1,79,0
40,5,8,11,8,127,6000,3500,5,44,61,68,51,53,60,1,79,1
56,6,8,9,8,22,16900,31200,9,43,61,65,51,54,58,9,76,0
26,5,8,11,9,18,33400,26200,3,43,64,66,52,53,57,2,75,1
22,6,8,11,7,127,15600,4000,3,43,63,66,51,54,56,7,84,0
24,5,8,9,7,127,23000,5900,7,43,62,66,49,53,56,5,77,0
25,6,7,11,12,127,14100,10400,5,43,63,68,51,53,58,23,79,0
18,5,8,9,5,19,21500,9200,10,43,64,68,52,54,57,6,85,0
25,6,7,10,2,18,54000,12000,7,43,61,66,49,54,59,27,85,0
20,5,8,11,4,19,35400,1600,9,44,64,67,50,53,58,4,81,0
26,5,7,10,10,19,50100,33500,4,44,63,66,51,54,58,0,75,1
35,6,7,10,7,127,39500,17900,6,44,64,67,52,53,56,19,80,0
30,6,7,9,10,19,57800,35200,2,43,63,65,52,53,55,10,76,0
